title,artist,genre,lyricist,music,key,beat,lyrics,metaphor,metaphor_interpretation,metaphor_source_domain,metaphor_target_domain
Ahasa Polawa | අහස පොළව,Sunil Edirisinghe,Old Pops,Yamuna Malani Perera,Rohana Weerasingha,G major,6/8,"අහස පොළව වටපිටාව හරිම හිස්තැනක් 
ගහක් කොළක් දියක් නොමැති කාන්තාරයක් 
ඇදී එන්න ඒ මොහොතේ  
හඬාවැටෙන හද මඬලට 
ඔබයි මමයි ඉන්නා තැන කොහිද තනිකමක් 
නැහැනේ තනිකමක් 
කනට මිණක තරුවක රුව 
නොපෙනුනි ඔබ දකින තුරා 
ලොවක සිරිය නොදුටිමි මා  
ඔබෙ සෙනෙහස ලබන තුරා 
විලක දොලක සුව නොලදිමි 
ඔබ මා හා රැඳෙන තුරා 
මලෙක සුවඳ ඇත මසිතේ 
ඔබ මා ළඟ සිටින තුරා",අහස පොළව වටපිටාව හරිම හිස්තැනක්,ඇය නොමැති විට විශාල අඩුපාඩුවක්,හිස්තැනක්,අඩුපාඩුවක්
Lokaye Rudu |  ලෝකයේ රුදු නෙත්,T.M.Jayarathna,Old Pops,Kularathna Ariyawansa,H.M.Jayawardhana,E minor,,"ලෝකයේ රුදු නෙත් වසා   
ස්නේහයේ හසරැල් සලා  
මා සොයා පැමිණෙන්න සොඳුරිය  
රෑ සඳේ කඳුලක් වෙලා… 
මා දෑස අවුරා ඔබ දෑස සඟවා  
සහසක් නුවන් දැල්විලා 
මා දෑස අවුරා ඔබ දෑස සඟවා  
සහසක් නුවන් දැල්විලා 
මේ කුරිරු ලෝකෙන් පාවී හමා රෑ  
යාවෙන්න පවනක් වෙලා 
රෑ සීත අඳුරේ මේ සොඳුරු යාමේ  
පාළුව දැනී තනිවෙල 
රෑ සීත අඳුරේ මේ සොඳුරු යාමේ  
පාළුව දැනී තනිවෙලා 
මා තැවෙන යාමේ මේ පාළු කුටියේ  
දැවටෙන්න සුවඳක් වෙලා",රෑ සඳේ කඳුලක් වෙලා,දුක නිවීමට පැමිනෙන්න,කඳුලක් වෙලා,දුක නිවීමට
Kunda Saman |  කුන්ද සමන්,T.M.Jayarathna,Old Pops,Clarence Wijewardena,Clarence Wijewardena,E major,,"කුන්ද සමන් මල් මල් රැන්දු සිනාවා  
කන්ද උඩින් පෑයූ චන්ද්‍ර සිනාවා  
නෙල්ලි කැලේ හැංගී ඉන්න කුමාරී  
පින්න පිපුනු සීතේ එන්න සිනාසී  
රංචු බිඟුන් සේනා  කැන්දු සිනාවා  
පුංචි සමන් මල් රොන් බිංදු සිනාවා 
පිපි මලසේ.හිමිදිරියේ.ඔසරි පොටේ 
සුදු නෙරියේ..හිත දැවටේ.සිලි සිලියේ 
මට නොදැනී.මට අමතා.පටු නළලේ  
කියඹු ලතා.මුදු මුදුසේ.සැලෙන ලතා",කන්ද උඩින් පෑයූ චන්ද්‍ර සිනාවා ,කන්ද උඩින් හඳ පෑයීම,චන්ද්‍රයා සිනාසීම,හඳ පෑයීම
Hiruta Horen |  හිරුට හොරෙන්,T.M.Jayarathna,Old Pops,Kularathna Ariyawansa,Rohana Weerasingha,Ab major,,"හිරුට හොරෙන් සඳුට හොරෙන්  
තරු මල් උයනේ  
ලොවට හොරෙන් සැදූ ලොවයි  
අපේ ආදරේ... 
ඔබේ නුවන් තරු එලියෙන්  
ඒ ලෝකයේ සිරි නරඹන්නම්  
 තවත් කුමටදෝ එළියක්  
මගේ ලෝකයේ  
ඔබේ වදන් අමසරයෙන්  
ඒ ලෝකයේ නද රැව්දේ නම්  
 තවත් කුමටදෝ මිහිරක්  
 අපේ ලෝකයේ",වදන් අමසරයෙන්,මිහිරි වූ කටහඩින්,අමරස,මිහිර
Ko Ma Pathu |  කෝ මා පැතූ,T.M.Jayarathna,Classics,Ranjith Weerasinghe,Premasiri Khemadasa,D major,,"කෝ මා පැතූ ඔබෙ ආදරේ  
කෝ මා පැතූ ඔබෙ ආදරේ  
කෝ මා පැතූ 
ආවේ එදා මා තනිවී ලොවේහී  
නැතිවී ගියා ඒ හැඟුමන් මෙහී… 
යළි මා අනාතයි උතුරා ගලා යයි සංවේදනා  
ඈ හා අතීතේ ගැයු ගීත රාවේ  
මුසුවී ඇසේවා සුළඟේ පවා...  
කෙවිලී කැදැල්ලේ කොවුලා ඉගිල්ලේ  දැන් ඈ දමා 
පායා පහන් වූ රන් තාරකාවෝ  
අඳුරේ දමා මා නොපෙනී ගියා...  
කවදාද ආයේ පායා දිලෙන්නේ  රන් තාරකා",ඈ හා අතීතේ ගැයු ගීත රාවේ,ඇය හා අතීතයේ කතා කල දේ,ගීත රාවේ,කතා කල දේ
Jeewithe Amadhara |  ජීවිතේ අමධාරා,T.M.Jayarathna,Old Pops,Gamini Wijethunga,Premasiri Khemadasa,C major,,"ජීවිතේ අම ධාරා  උල්පතේ රස උතුරා 
කෝ සුපෙම් හස කැළුම් රස හැඟුම්  
මීවිතේ රස උතුරා                  
ආදරේ මල් උයනේ  නෑ ඔබේ හඬ ඇසුනේ  
පිපි කුසුම් මල් යහන් තුලට වී    
කොවුලනේ නාඬන්            
ඈත නිල්වන් ගුවනේ  පියාඹන ලිහිණියනේ 
මට කියන් තෙපි සොයා යන ලොවේ   
සෝ තැවුල් රැඳුනේ       
හමන පවනේ සඟවා  මගේ පාළුව රහසේ 
ඇත එවා ඔබ සොයා පිය ළඳේ  
මීවිතේ රස උතුරා",ජීවිතේ අම ධාරා,ජීවිතයේ සතුට,අම ධාරා,සතුට
Hadissiye |  හදිස්සියේ,T.M.Jayarathna,Old Pops,Camilas Perera,Clarence Wijewardena,Eb major,,"හදිස්සියේ හනි හනිකට පය තබනා  
රුවැත්තියේ නුඹ සිටිනා ගම කොතැනා... 
දෑත සලා කිංකිණි හඬ දෙවන්නී  
දෑස සලා මොනමොනවද කියන්නී  
‍          
යටින් හොරෙන් එබිකම්කර බලන්නී  
ළඳේ නුඹයි මගෙ දුක් ගිනි නිවන්නී  
රෑන කිතුල් මල පිට මැද හෙලන්නී  
සිහින් පබළුවැල් ගෙල වට බඳින්නී  
‍          
කෝල නැවුම් සිනා දැලක් එළන්නී  
ළඳේ නුඹයි මගෙ දුක් ගිනි නිවන්නී",හදිස්සියේ හනි හනිකට පය තබනා,හිදිස්සියේ දුවන,හනි හනිකට පය තබනා,දිවීම
Eka Sitha Dethanaka |  එක සිත දෙතැනක,T.M.Jayarathna,Old Pops,Kularathna Ariyawansa,Rohana Weerasingha,F major,,"එක සිත දෙතැනක නතර වෙලා  
ඔබේ සිතයි මගේ සිතයි  
දෙසිතම එකම සිතක් වී  
ඔබේ ලඟයි මගේ ලඟයි  
ඒ සිත දෙතැනක නතර වෙලා 
ලසෝ තැවුල් මැද ඔබ සැලෙනා විට  
මගේ නෙතද වැළපේ  
සිනා තෙපුල් මැද ඔබ සැනසෙන සඳ  
මගෙ සිතද සැනසේ  
ඔබේ පැතුම මා පතනා ලොවමයි  
අපේ සිතුම් සම වේ  
ඔබෙ මගේ යයි වෙනසක් නොහැඟෙයි  
ඔබම යළිදු මම වේ",එක සිත දෙතැනක නතර වෙලා,දෙදෙනෙක් තුල ආදරයක් ගෙඩනැගීම,එක සිත දෙතැනක,දෙදෙනෙක් එකෙකු සේ
Degoda Thala |  දෙගොඩ තලා,T.M.Jayarathna,Old Pops,Ajantha Ranasinghe,Clarence Wijewardena,F major,,"දෙගොඩ තලා ගඟ ගලා 
මෙගොඩ ගොඩේ ඈ හිඳී 
තොටුපලේ ගං ඉවුරේ 
මා තනිවම මද අඳුරේ 
මේ ගඟ ගලා ගියේ 
අපි පුංචි ළමුන් දවසේ 
ඇගෙ දෙපා පවා ආදරෙන් දොවා 
ආදර ඒ ගඟ නෑ අද නෑ 
මේ ඔරු කඳේ නැගී 
බොර පාට දියේ තනිවී 
මා මෙහා ඉමේ ඈ එහා ඉමේ 
බාධක මේ ගඟ තාම ගලයි",මා මෙහා ඉමේ ඈ එහා ඉමේ,ඇය හමුවීම ඇතිවන බධාවන්,⁣දෙගොඩ සිටිය දී මැදින් ගඟ ගැලීම,බාධක දෙදෙනාව වෙන් කිරීම
Dayiwaye |  දෛවයේ සුළි සුළගේ,T.M.Jayarathna,Old Pops,Hemasiri Halpita,Clarence Wijewardena,D major,,"දෛවයේ සුළි සුළගේ වෙලී  
ජීවිතේ පැතු පැතුමන් සිඳී  
මා කෙරේ බැඳී සෙනෙහෙ බිඳී  
ඇය යාවි ඇදී ...  ඇය යාවි ඇදී 
පාළුවූ මා සිතින්   චේතනා ගිලිහෙමින්  
නිමවූ අපේ   ආදරේ වේදනා ගෙනේ  
වාලුකා මිරිගුවෙන්  මංමුලාවූ ලෙසින්  
තනිවී මෙසේ  මා ලයේ ප්‍රර්ථනා සිඳේ",දෛවයේ සුළි සුළගේ වෙලී,දෙදෙනාගේ ආදරය බිඳ වැටීම,සුළි සුළඟ,ආදරය බිඳ වැටීම
Amma Sandaki |  අම්මා සඳකි,T.M.Jayarathna,Classics,Malani Jayarathna,Rohana Weerasingha,G major,,"අම්මා සඳකි මම ඒ ලොව හිරුය රිදී  
ඒ ඉර හඳෙන් නුඹෙ ලෝකය එලිය වුනී  
රැකුමට පුතුන් දිවියේ දුක් ගැහැට විඳී  
පිය සෙනෙහසට කව් ගී ලියැවුනා මදී  
සිරුරේ දුවන්නේ මගෙ ලේ නොවැ පුතුනේ  
කුසයේ නොදැරුවත් දිවි බර මට දැනුනේ  
මහමෙරකට උසයි දරු පෙම හද පතුලේ  
පුදුමයි පුතුනි කිම මගෙ ලේ කිරි නොවුනේ 
මවකට මුවාවී නුඹ වෙත දිරි දුන්නේ  
මම වෙමි පුතුනි එය මා පමණයි දන්නේ  
පිය සෙනෙහස නැතිද දරුවනි හඳුනන්නේ  
අම්මාවරුන් පමණද මතු බුදු වන්නේ",අම්මා සඳකි මම ඒ ලොව හිරුය රිදී,මව සෙනෙ⁣හස ලබා දෙද්දී පියා රැකවරණය ලබා දීම,හිරු,රැකවරණය
Anduru Kutiya Thula |  අදුරු කුටිය තුල,T.M.Jayarathna,Classics,P.S.Alawaththage,Premasiri Khemadasa,D minor,,"අදුරු කුටිය තුල දොරගුළු ලාගෙන  
ගයන ගීතිකා යදින යාතිකා දෙවියන් හට නෑසේ 
ඒ…….දෙවියන් හට නෑසේ 
පොලව කොටන තැන පාර තනන තැන  
ගිනියම් අව්වේ මහ වරුසාවේ දෙවියෝ වැඩ ඉන්නේ 
ඒ…….දෙවියෝ වැඩ ඉන්නේ 
බලන් කඩතුරා හැර දෑසේ 
සිනිදු සුවැති සළු සිරසින් හැරදා 
දූවිලි මඩ වැකි පිළි ගත පලදා 
දෙවියන් රුව දක්නට හැක්කේ  
හ හා…ආඅආඅ ආඅආඅ ආඅආඅ  ආ.. 
කුසුම් සදුන් දුම් සුවදින් වැලකී 
ගත නැගි දාඩිය සුවදින් සැරසී 
දෙවියන් හා එක්විය හැක්කේ 
හ හා…ආඅආඅ ආඅආඅ ආඅආඅ  ආ..",බලන් කඩතුරා හැර දෑසේ,දෑස විවර කර හොඳින් අවධානයෙන් දකින්න,කඩතුරා හැර,හොඳ අවධානෙන් දකින්න
Detholaga Sinaha – දෙතොළග සිනහා,Victor Rathnayaka,Old Pops,W.M.T.Bandara,Victor Rathnayaka,E,2/4,"දෙතොළග සිනහා ආදර කැල්මෙන් නැහැවේ 
පෙම්රස අනා අමුණයි සුන්දරතාවේ 
නුවනග බැලුම් නිහඬව ගැයු ගී රාවේ 
මදුරස පිරේ සවනත මී විත යාවේ 
දේදුනු දෙබැමේ නැළවෙන සිත සුව යහනේ 
මිහිරක් දැනේ………. හදවත අඩ සඳ පහනේ 
ලෝ තූල සදා මිය යන මල් පිපි සෙවනේ 
ඔබ මට මදාරා……… මලකිය පිය ලඳුනේ",ආදර කැල්මෙන් නැහැවේ,සිනහව නිසා ආදරයක් දැනීම,කැල්මෙන් නැහැවීම,ප්‍රාණවත් වීම
Daiwayogayakin |  දෛවයෝගයකින්,Victor Rathnayaka,Classics,Sunil Ariyarathna,Victor Rathnayaka,G major,4/4,"දෛවයෝගයකින් නොවේදෝ 
හමුවුණේ අප හමු වුණේ 
දෛවයේ සරදම් ලබන්නට 
කිම මෙසේ අප හමුවුණේ  
ඇදුරුතුමියයි ප්‍රේමයේ ඔබ 
ඇදුරුතුමියයි යෞවනේ 
ශෝකයේ රුදු වේදනාවේ 
කඳුළු සයුරේ උල්පතයි 
නඳුන් උයනයි ස්නේහයේ ඔබ 
සඳුන් සිලිලයි ජීවිතේ 
සොම්නසේ ආනන්දයේ 
හසරැල් තරංගේ උල්පතයි",දෛවයේ සරදම් ලබන්නට,නොසිතූ ලෙස ආදරය නැති වීම,සරදම් ලබන්නට,නොසිතූ ලෙස ආදරය නැති වීම
Asha Nirasha Mawu |  ආශා නිරාශා මැවූ,Victor Rathnayaka,Golden Oldies,Ajantha Ranasinghe,Victor Rathnayaka,E minor,6/8,"ආශා නිරාශා මැවූ ඈ ස්වප්න මායාවකී 
ස්නේහේ ගඟුල් ප්‍රේමේ තැවුල් 
මැවූ ඉන්ද්‍රජාලේ ඇයයි  
දවාලන්න පෙම්මාරුතේ  
ඇයයි ළංව ඉන්නේ සිතේ 
නිවාලන්න දුක් ජීවිතේ  
ඇයයි නිල්ල මල් මාවතේ 
දිවා රැයේ මා ළඟයි මගේ අරුම පෙම් අංගනා 
නෙතේ හැංගි හැංගී හිඳී  
සිතේ ස්වර්ණ යහනේ නිදී 
මුවේ මන්දහාසේ දිදී      
මගේ නින්ද ආයේ බිදී 
දිවා රැයේ මා ළඟයි මගේ අරුම පෙම් අංගනා",ආශා නිරාශා මැවූ ඈ ස්වප්න මායාවකී,සිහිනෙන් පවා මතක් වීමට ඇය තුල තිබූ සුන්දරත්වය,ස්වප්න මායාව,සුන්දරත්වය
Api Hangum Walata |  අපි හැඟුම් වලට,Victor Rathnayaka,Golden Oldies,Premakeerthi De Alwis,Victor Rathnayaka,D minor,4/4,"අපි හැඟුම් වලට ඉඩදී මොහොතක්‌ 
ඉඩ ලබාගනිමු තරමින් වියතක්‌ 
හඳ පානේ මද අඳුරේ අත් පටලා යමු ආයේ 
අත් පටලා යමු ආයේ 
ඔබ ඔබෙ හෙවණැල්ලෙන් මිදී 
මම මගෙ හෙවණැල්ලෙන් මිදී 
 අවුදින් හිමින් රහසින් මුමුණා 
හඳ පානේ මද අඳුරේ  
හඳ පානේ මද අඳුරේ…… 
හිරකර හසරැල්ලෙන් හැඩුම් 
අපි හිනැහෙමු සපුරා පැතුම් 
 මතු ආත්මයේ හමුවෙන පැතුමින් 
යමු වෙන්වී හිමිදිරියේ 
හඳ පානේ මද අඳුරේ……",ඔබ ඔබෙ හෙවණැල්ලෙන් මිදී,ඔබ රහසේ පැමින,සෙවනැල්ලෙන් මිදීම,රහසින්
Api Okkoma Rajawaru |  අපි ඔක්කොම රජවරු,Victor Rathnayaka,Inspirational,Sunil Ariyarathna,Victor Rathnayaka,G major,2/4,"අපි ඔක්කොම රජවරු ඔක්කොම වැසියෝ 
තුන් සිංහලයම නෑදෑයෝ 
අපි ඔක්කොම පියවරු ඔක්කොම මව්වරු 
තුන් සිංහලයම දූ දරුවෝ 
තුන් සිංහලයම දූ දරුවෝ 
ජය දද බන්දා හහා හා හා  
සිරිදුව කැන්දා හහා හා හා 
ජය දද බන්දා සිරිදුව කැන්දා  
රුපු සෙන් ඔද තෙද සින්දා 
හද අරවින්දා හහා හා හා  
කර සිරි නන්දා හහා හා හා 
හද අරවින්දා කර සිරි නන්දා  
පර ගැති සිත ගත බින්දා  
පර ගැති සිත ගත බින්දා 
හිස මල් පිපුණා හා හා හා  
හසරැල් නැගුනා හා හා හා 
හිස මල් පිපුණා හසරැල් නැගුනා 
හද සෝ ගිනි දැල් නිවුනා 
නෙතු කැන් දිලුනා හා හා හා 
සිතු වැල් බැඳුනා හා හා හා 
නෙතු කැන් දිලුනා සිතු වැල් බැඳුනා 
ජය මංගල ගී ගැයුනා ජය මංගල ගී ගැයුනා",තුන් සිංහලයම නෑදෑයෝ,තුන් සිංහලයම අතර තිබෙන ලෙංගතුකම,නෑදෑයෝ,ලෙංගතුකම
Api Athata Athata |  අපි ඈතට ඈතට,Victor Rathnayaka,Golden Oldies,Sunil Ariyarathna,Victor Rathnayaka,Eb major,4/4,"අපි ඈතට ඈතට පා නඟලා ඝණ වනන්තරේ 
අතර මං වෙමු වසන්ත මල් ගොමුවේ 
කාත් කවුරුවත් නෑ එන්නේ 
ඉදුල් නොවේ රුදු මිනිස් ඇසින් 
අපේම පුංචි ලෝකයේ අපි ඉන්නේ 
බමරුන් විතරයි තනියට ලඟ ඉන්නේ 
කෙසේද අත්බැඳ ඇවිදින්නේ 
වෙරළේ උයනේ තුරුළු වෙමින් 
නෑසිය මිතුරන් මඟතොට හමුවන්නේ 
උකුසු ඇසින් අප කෙලෙසද ගැලවෙන්නේ",ඉදුල් නොවේ රුදු මිනිස් ඇසින්,කවුරුවත් ඔවුන් දෙස ඇස ගසා ගෙන නොසිටීම,ඉඳුල් නොවේ,නොසිටියි
Andura Bidinnata |  අඳුර බිඳින්නට,Victor Rathnayaka,Movie Songs,Premakeerthi De Alwis,Victor Rathnayaka,C major,4/4,"අඳුර බිඳින්නට රැයක් දවාලු  
ලන්තෑරුම් නිවලා  
තිමිරයෙ තිරකඩ අරුණෙහි බිඳහැර  
හිරු තව දවසක් ගෙනැවිල්ලා 
මතකය නම් වූ මළපොත පෙරලා  
මළගිය ඊයේ සිහිපත් කළ මැන  
පැතූ පැතුම් අත් මිට මොලවාගත්  
දෑතෙහි දසැඟිලි දිගහැරලනු මැන  
එහි මොනවද ඇත්තේ කිසිත් නැත  
හිස් බවෙකිය ඇත්තේ 
සමුදුර ගිරිහෙල් දෙරණ තලා මැද  
යෞවන විය පියවර තබනා සඳ  
හිස්වන හදවිත සපුරා ලන්නට  
මියැසි විරාමය යළි පැමිණි ඇත  
අරුමෙකි පැවසෙන්නේ එපමණයි 
පිළිසරණය වන්නේ",මළපොත පෙරලා,මකතය යලි ආවර්ජනය කර,මළපොත,මතකය
Amma Nathi Mata |  අම්මා නැති මට,Victor Rathnayaka,Classics,Lushan Bulathsinhala,Victor Rathnayaka,E minor,4/4,"අම්මා නැති මට කිරි අම්මා වී 
කළු‍වර ගෙදරට මිණි පහනක් වී 
දැනගත් දා සිට පෙරුම් පිරු‍වේ 
අක්කේ මං මතු සක්විති වෙයි සිතලා දෝ 
පියුම් රටාවට පැදුරක් පිරෙයි රැයේ 
උදේට ලිප ලග කඩයප්පන් ගොඩවේ 
දෙකම්මුලින් වට මුතු වට්ටිය නුඹගේ 
පනමට දී මට නැණනෙත් පෑදූවේ 
මෝරා හද ගැබ පෙම්මල් නෑ පිපුනේ 
ලීලා බද වට ගෝමර ලතැවෙන්නේ 
බාල යොවුන් හද වැහැරී ගේ ඇතු‍ලේ 
මා ලද ශිල්පද නූඹ හා එක මුල්ලේ",මිණි පහනක් වී,නිවසෙහි සියලු වගකීම් ඉටු කරමින්,මිණිපහණ,වගකීම් ඉටු කිරීම
Ama Dahara,Victor Rathnayaka,Buddhist songs,Punyasiri Mahawaththa,Victor Rathnayaka,C minor,4/4,"අමා දහර දිය ගලා ගලා 
තුරු ලතා තුළින් මල් පියලි සලා 
ජය හඬින් ලොවට සිහ නද පතුරා 
ලෝ සත අතරින්  ජනිත වුණා 
අමා දහර දිය ගලා ගලා 
තුරු ලතා තුළින් මල් පියලි සලා 
සැපෙහී කිමිදී දුකෙහි ගැලීලා 
මැදුම් පිළිවෙතින් අමා සුව ලබා 
දහම් සුවඳ මල් දසතම පතුරා 
සියලු කෙලෙස් මැඬ බුදු වූවා 
සියලු කෙලෙස් මැඬ බුදු වූවා 
ජීවිතයේ ඇති නොනිමි අතිර බව 
ලොවට පැතුරු කරුණාවේ අම ගුණ 
සියලු සතුන් වෙත දහම් රස පෙවූ 
කරුණාබර නෙත් නිවී ගියා 
කරුණාබර නෙත් නිවී ගියා",සැපෙහී කිමිදී,අනන්තවත් සැප විඳ,කමිදීම,විඳීම
Adawan Desin |  අඩවන් දෑසින්,Victor Rathnayaka,Movie Songs,Mahagama Sekara,Somadasa Elvitigala,F major,2/4,"අඩවන් දෑසින් පවසනු රහසින් 
ජීවිතයේ රස මේ යැයි විගසින්  
පමා වෙවී ඉඳිනට නැත වේලා 
කාලය ඉගිලී යයි ඉගිලී යයි 
පමා වෙවී ඉඳිනට නැත වේලා 
කාලය ඉගිලී යයි ඉගිලී යයි 
සුපුල් දෙතොල් රතු පැහැයෙන් තවරා 
සුපුල් දෙතොල් රතු පැහැයෙන් තවරා 
මීවිත උතුරා යයි උතුරා යයි 
අවුල් දුහුල් වල සිහිල් පහස වැද 
රංගනා රංගන නොනවත්වනු මැන 
ඒ ගී හඩ මුලු ජීවිතයම සතු 
රස බර සුළු මොහොතයි සුළු මොහොතයි 
රෑ සිහිනෙන් දිව ගා සැපතක් සේ 
රෑ සිහිනෙන් දිව ගා සැපතක් සේ 
හෙට දින එය මිය යයි මිය යයි",කාලය ඉගිලී යයි,කාලය ඉක්මනින් ගෙවී යයි,ඉගිලී යාම,ඉක්මනින් ගත වීම
Adaraye Ulpatha Wu |  ආදරයේ උල්පත වූ,Victor Rathnayaka,Classics,Premakeerthi De Alwis,Victor Rathnayaka,C major,4/4,"ආදරයේ උල්පත වූ අම්මා මා ඔබගේ පුතු වූ…. 
‍                                     
ඔබ මතු බුදුවන දවසේ මා රාහුල කුමරුන් සේ  
සෙවන පතා අද මෙන් පැමිණෙන්නෙමි 
සුළැගිල්ලේ එල්ලී 
සඳ දිය කොට කිරිවතුරෙන්  
ඒ දියරෙන් මුව දෝවා 
දිව මතුරක්වන් නැලැවිලි ගීයෙන්  
මතකයි මා නැලැවූවා 
ජීවිතයෙන් ජීවිතයක් ගෙන දී  
ඒ ජීවිතයට කිරි දී පණ දී 
මා දැඩි කල අම්මා 
තුරුලට ගෙන අත් පා හැඩ ගස්වා  
නිදි ගන්වා යහන් ගැබේ 
සිහිනෙන් ගෑ සුවඳක් මෙන්  
සිහිවෙයි ඒ කිරි සුවඳ ඔබේ 
දවසින් දවසට සෙනෙහස ලබැදී  
ගෙන දී දිවියට නව පන ලැබදී 
මා දැඩි කල අම්මා",සෙවන පතා,සෙනෙ⁣හස පතා,සෙවන,සෙනෙහස
Kale Gahaka |  කැලේ ගහක,W.D.Amaradewa,,,,C major,6/8,"කැලේ ගහක මල් පිපිලා සුවඳ ගලනවා 
හදේ ලැගුම් ගත් බඹරුන් රොණට වඩිනවා 
රේණු තලා මල් නොතලා උන් පැණි බොනවා 
මගේ දෑස මට නොකියා කරදර දෙනවා 
ගලා හැලෙන අඳුර මැදින් නුවන් පිපෙනවා 
මලේ මහිම ඒ අතරේ මට හමුවෙනවා 
සදා සතුට සිහින ලොවේ කිරුළු දරනවා 
මා තනි වූ විටදී පමණි එ මල දකින්නේ 
හිරු සඳු මෙහි විත් මොකටද කරදර දෙන්නේ 
අඳුර සමඟ මොහොතක්‌ මට ඉන්නට දෙන්නේ",ගලා හැලෙන අඳුර,රාත්‍රිය උදා වීම,ගලා හැලීම,උදා වීම
Hanthane Kandu Muduna |  හන්තානේ කඳු මුදුන,W.D.Amaradewa,,,,E minor,4/4,"හන්තානේ කඳු මුදුන සිසාරා පවනක් වී එන්නම් 
ඔබේ සුවඳ රැඳි කුටිය සමීපේ කුසුමක් වී ඉන්නම්... 
කුසුමක් වී ඉන්නම්
තුන් මහළින් සැදී සරසවි පායේ මල් කැටයම් සෙවනේ 
සිරිපොද වැස්සේ නැගුනු සතුටු රළ 
මිරිගු සයුර විනි අතීතයේ මිරිගු සයුර විනි අතීතයේ 
පාළු නිසංසල කඳු වැටි අතරේ මහවැලි ගං ඉවුරේ 
අත් තටු සිඳගත් විහඟ විලාසෙන් 
අපේ පැතුම් ඉකිබිදිනු ඇසේ  අපේ පැතුම් ඉකිබිදිනු ඇසේ",කුසුමක් වී ඉන්නම්,සුවඳ විඳගෙන සිටීම,කුසුමක් වී,සුවඳ විඳගෙන
