title,artist,genre,lyricist,music,key,beat,lyrics,metaphor,metaphor_interpretation,metaphor_source_domain,metaphor_target_domain
Hanthana Sihine |  හන්තාන සිහිනේ,W.D.Amaradewa,,,,C minor,4/4,"බලා වැලපෙමි නෙලාගනු බැරි හන්තාන සිහිනේ 
දරා නෙත් අග දොවා සිත් මල ගොතනු මැන ළදුනේ 
සංසාර සිහිනේ
වැහි පබළු යට රගමඩල මැත ඔබේ දෑතේ තුරුළු වෙන්නට 
බිසෝ හැර ගිය ලසෝ රග හළ අමාවක අදුරේ 
නොඑනු මැන ළදුනේ 
වඩින තුරු සද දුරින් ඉන්නම්  තරු ඇදුරු පෙම් ගී අහන්නම් 
සොදුරු ඒ සද දියේ එන්නම්  ඉදිනු මැන සොදුරේ 
හන්තාන අරණේ",බලා වැලපෙමි නෙලාගනු බැරි හන්තාන සිහිනේ,ලබාගත නොහැකි ආදරය දෙස බලා වැලපෙමි,හන්තාන සිහිනය,ලබාගත නොහැකි ආදරය
Giman Harina |  ගිමන් හරින,W.D.Amaradewa,,,,C minor,3/4,"ගිමන් හරින දියඹ දිගේ සුසුම් හෙලන වෙරළ ඉමේ 
බැස යන හිරු අඩැසි සඳට රහස් කියනවා 
සඳ ආදරයෙන් අහස පුරා ර‍ටා මවනවා  
හිත් දැහැනේ වේලි තිබුණු නෙත් දැහැනේ ගලා හැලුණු 
මියැදෙන්නට බලා හිඳපු  ආදරයද මේ 
හිරු රහසේ කියා දුන්නු ආදරයද මේ 
නිල් කටරොළු නිල නැහැවුනු මල් බර මුදු සුව රජයන 
තොල් පෙති කල් පලදාලන  ආදරයද මේ 
නුඹ රහසේ කියාදුන්නු ආදරයද මේ",අඩැසි සඳට රහස් කියනවා,අඩවන්ව සඳ නැග එනවා,රහස් කියනවා,උදා වීම
Gilem Obe Guna |  ගිලෙම් ඔබේ ගුණ මූදේ,W.D.Amaradewa,,,,C minor,4/4,"ගිලෙම් ඔබේ ගුණ මූදේ විඳිම් ඔබේ දම් සාරේ  
වඳිම් වඳිම් ඔබ පාදේ තිලොඅග බුදු සමිඳේ 
තිලොඅග බුදු සමිඳේ
සිඳ බිඳ මොහඳුර පාප සිඳ බිඳ මොහඳුර පාප 
දැල් වූ දහම් ප්‍රදීප  දැල් වූ දහම් ප්‍රදීප
සිඳ බිඳ මොහඳුර පාප  දැල් වූ දහම් ප්‍රදීප 
හෙළි කළ අප හෙළ දීප  තිලොඅග බුදු සමිඳේ 
තිලොඅග බුදු සමිඳේ 
සිල් ගත් දිනිඳුන් සේම සිල් ගත් දිනිඳුන් සේම 
සිල් තෙද ගුණ ඇති සෝම  සිල් තෙද ගුණ ඇති සෝම
සිල් ගත් දිනිඳුන් සේම  සිල් තෙද ගුණ ඇති සෝම 
සත හට පෑ මවු ප්‍රේම  තිලොඅග බුදු සමිඳේ 
තිලොඅග බුදු සමිඳේ",ගිලෙම් ඔබේ ගුණ මූදේ,ඔබේ ගුණ ගයමින් ප්‍රීතිමත් වෙමි,මුහුද,අප්‍රමාණ වූ
Daskon Sakisanda |  දස්කොන් සකිසඳ,Neela Wickramasinghe,,,,C minor,7/8,"දස්කොන් සකිසඳ ඉක්මන් ගමනින්  
නො එනා ගමනකි යන්නේ 
එනමුත් ළඳුනේ මතු අත් භවයේ 
ඔබ මා යලි හමු වන්නේ
සියොළඟ හිමි ළඟ හදවත මා ළඟ 
කෙලෙසද හද බැඳ ලන්නේ 
කවුදෝ ‍රැකවල් ලන්නේ 
ඔබ මා යලි හමු වන්නේ 
මිය යමි මනු ලොව හමු වෙමි පෙම් ලොව 
ලොව්තුරු සුව  වළඳින්නේ 
කිසිදා නැත හමු වන්නේ 
ඔබ මා යලි හමු වන්නේ",නො එනා ගමනකි යන්නේ,මරණය කරා යාම,නොඑනා ගමන,මරණය
Dathe Elli – දෑතේ එල්ලී,W.D.Amaradewa,Current Songs,Swarna Sri Bandara,Pandith Amaradewa,C minor,4/4,"දෑතේ එල්ලී මියුරු කතා කී 
සුරතල් දෝණියනි
කාලයෙ රියසක මහලු මගෙන් ඔබ 
ඈතට ගෙන යන්නේ
බොළඳ මියුරු බස් සවන් නිවාලූ
කැකුළු සිනා රස සිත සනහාලූ
අතීත සිහිනය බොඳවී දියවී
ඈතට පාවෙන්නේ  ඈතට පාවෙන්නේ
පරපුර වඩන ලෙසින් වෙහෙසෙන ඔබ
ඇස නැළවූ සිත පිනවූ
මතක වළාවෙන් නොපෙනෙන ඈතට
වැලිබත පාවෙන්නේ වැලිබත පාවෙන්නේ",සවන් නිවාලූ,කනට මිහිරි වදන්,නිවාලූ,මිහිරි වදන්
Etha Kandukara |  ඈත කඳුකර,W.D.Amaradewa,,,,C major,7/8,"ආ…….ආ……ආ…….ආ…….. 
ඈත කඳුකර හිමව් අරණේ  
සීත චන්දන ලපලු සෙවනේ 
සුළං රැල්ලේ පාව එන්නේ 
ඔහුගෙ නාමය වේ   
සඳැල්ලේ මිණි තලාවේ  තාරකා පිපි වෙලාවේ 
ලදැළියන්ගේ හීන අතරේ  මැවෙයි ඒ රූපේ 
රනින් කල වන් පුළුල් උරයෙන් 
හසුන් ළමැදේ මුස කරන්නේ 
හදේ මෝරන ආදරේ  
සඳේ සොමි ගුණ යා කෙරේ 
සරා ගී නිල් නුවන් බඳුනින් 
නුරා ඉතිරෙන්නේ","සුළං රැල්ලේ පාව එන්නේ 
ඔහුගෙ නාමය වේ",නිතරම අවටින් ඔහුගේ නාමය ඇසේ,සුලං රැල්ලේ පාවීම,නිතරම ඇසීම
Aradhana | ආරාධනා,W.D.Amaradewa,,,,G major,,"…….………… 
ආරාධනා……. ආරාධනා 
ජීවිතයේ තනි මංසල අතරමං වෙලා 
හුදෙකලාව සුසුම් හෙලන හදවත සනහා 
අතීතයේ ගිලිහී ගිය සතුට රැගෙන යලි වඩින්න 
ආරාධනා ආරාධනා 
නෙලූ සුපෙම් කැටයම් හද පවුරැ තලාවේ   
මැකී ගියාදෝ……………කාලයේ වෙරළේ 
ජීවිතයේ දිගු ගමනින් අනාත වූ දා   
සෙනේහයේ සත් පියුමන් යළිදු පිපේවා 
ආරාධනා ආරාධනා 
එදා සිඟිති කිරි සුවඳින් යුග දිවි අරණේ   
ඔබේ උණුසුමේ………………….යළිදු උපන්නෙම් 
බිඳුණු එවන් රජ දහනින් සමු ගෙන යනදා  
ඔබේ නුවන් පහනින් යළි එළිය ලැබේවා 
ආරාධනා ආරාධනා",ජීවිතයේ තනි මංසල,තනි වූ ජීවිතය,තනිමංසල,තනිවීම
Anothaththa Vila – අනෝතත්ත විල,Amitha Wedisinghe,Classics,Sunil Sarath Perera,Victor Dalugama,G,4/4,"අනෝතත්ත විල නෙළුම නෙළාලා
පීරා වරළස මල් ගවසාලා
නාග ලොවින් බැස නාළිය ගමනින්
වරඟන පිරිවරිනා එරන්දතිය එනවා
සිතක උපන් දොල සංසිඳුවාලා
මතක සිනාවෙන් මුව සරසාලා
ඉරට මුවාවෙන් සඳට මුවාවෙන්
හිතට තුරුළු වෙනවා එරන්දතිය එනවා
කෝමළ ගමනින් කෝළ හැඟුම් හල
කාල ගිරෙන් සිතුවිලි සේනා ගෙන
වරඟන පිරිවරිනා එරන්දතිය එනවා
නළලත කුංකුම තිලක තියාලා
නීල වර්ණයෙන් කැළුම් නෙළාලා
පාද කිංකිණී සොළවා එරන්දතිය එනවා",පීරා වරළස,කොණ්ඩය,වරලස,කෝණ්ඩය
Adawan Wu Denethin | අඩවන් වූ දෙනෙතින්,W.D.Amaradewa,,,,Bb major,,"අඩවන් වූ දෙනෙතින් ගලනා  
මෙත් මුදිතා කරුණා ධාරා  
තෙමා තෙමා හද ගලා ගලා යන  
ලොව්තුරු ගුණ මහිමේ 
මහමෙව්නා උයනේ …………  
සමාධි බුදු පිළිමේ 
අඩවන් වූ දෙනෙතින් ගලනා  
මෙත් මුදිතා කරුණා ධාරා 
පිරි ඉතිරී යන මහ වතුරක් සේ  
ගලා හැලෙන සිහිළැල් ගඟුලක් සේ 
ගිමන් නිවාලන මේ භව කතරේ 
නිවන් සදා ලන බුදු ගුණ මහිමේ 
මහමෙව්නා උයනේ …………  
සමාධි බුදු පිළිමේ",පිරි ඉතිරී යන මහ වතුරක් සේ,අප්‍රමාණ වූ බුදු ගුණ,පිරී ඉතිරී යන මහ වතුර,අප්‍රමාණ වූ
Adara Hangum – ආදර හැඟුම්,W.D.Amaradewa,Classics,Dayananda Gunawardhana,Somadasa Elvitigala,E minor,7/8,"ආදර හැඟුම් ආදර හැඟුම් 
නුපුරුදුයි මට නුපුරුදුයි ඒ හැඟුම් 
ආදර හැඟුම් ආදර හැඟුම් 
කිතිකවයි හද කිතිකවයි ඒ හැඟුම් 
ආදර හැඟුම් ආදර හැඟුම් 
ආදර හැඟුම් 
සැඳෑ අඳුරේ සැළෙන තරු එළි 
මගේ හද තුළ කරයි විමසිලි 
නැගෙන ගනඳුර වඩයි සිතුවිලි 
මේ මඟුල් රෑ බිඳෙයි ඉවසිලි 
කිමද ඔබ මල් කුමරියන්නේ 
පෙති විදා සතුටින් නොඉන්නේ 
රහස නැතිවද මං නොදන්නේ 
තුරුළෙ බමරුන් නොවෙද ඉන්නේ 
ආදර",නුපුරුදුයි ඒ හැඟුම්,ආදරයක් නොලැබීම,නුපුරුදු,නොලැබීම
Mala Giraviye | මාල ගිරවියේ,Karunaratna Divulgane,New Pop,Rathna Sri Wijesinge,H.M.Jayawardhana,G minor,6/8,"මාල ගිරවියේ ... මාල ගිරවියේ 
මට නුඹත් එක්ක අපේ ගමට පියාඹන්න ආසයි 
මං දන්න කියන ගහකොල මල් පෙන්නන්නට ආසයි 
මාල ගිරවියේ... මාල ගිරවියේ 
දුර නෑයො පවා ගේ දොරකඩ එකතුවෙලා හිදිවි 
නුඹේ මාලෙ හැබෑ රත්තරන්ද අත ගලා බලාවි 
මේ සේද ඇදුම් ඉල්ල ගත්තේ කාගෙන්දැයි අසාවි 
මගෙ උර තලයේ හිස තියාන හෙමිහිට ඉකි බිදිවි 
අපෙ නැති බැරිකම් ඒ තරමට අමිහිරිදැයි අසාවි 
ඒනිසා තවත් ටික දවසක් ඉවසමු අපි කුමාරි",මාල ගිරවියේ,ආදරවන්තිය,මාල ගිරවිය,ආදරවන්තිය
Mage Pem Lowa Sihasun | මගේ පෙම්ලොව සිහසුන්,Karunaratna Divulgane,New Pop,Ranil Jayasena,H.M.Jayawardhana,G minor,2/4,"මගේ පෙම්ලොව සිහසුන් අරා සිටි  
කුමරියේ ඔබ කලත් අභිනික්මන් 
සිහින උයනේ කරමින් සක්මන් 
කරනු ඇයි තව මා සිතේ හොල්මන් 
ගසක සෙවනක පවන් රැල්ලක  
සිහල බව රැඳි ඔබේ සෙනෙහස 
හද නිදන් කල මතකයේ සටහන් 
වගෙයි උදුනක ඇවිලෙනා ගිනිදැල් 
සුලඟෙ සෙලවෙන පහන් රැල්ලක 
අතිර බව රැඳි ඔබේ ප්‍රේමය 
හිත නිදන් කල මතකයේ සටහන් 
වගෙයි ගල් මත ඇඳුනු බිතු සිතුවම්",මගේ පෙම්ලොව සිහසුන් අරා සිටි,⁣මා හා ප්‍රේමයෙන් සිටි,සිහසුන් අරා සිටි,අරක් ගෙන සිටි
Ma Obath Ekka | මා ඔබත් එක්ක,Karunaratna Divulgane,New Pop,Lalith De silva,Rohana Weerasingha,F minor,6/8,"මා ඔබත් එක්ක සුහද කතාවක් 
ඔබෙ ඇසුත් එක්ක ප්‍රේම කතාවක් 
තොරතුරු විමසනවා ආගිය තැන් පවසනවා 
තොරතුරු විමසනවා ආගිය තැන් පවසනවා 
සංසාරේ හුරුපුරුදුයි කියල කියනවා 
කියල කියනවා 
මා ඔබත් එක්ක දිගට කතාවක් 
ඔබෙ ඇසුත් එක්ක ප්‍රේම කතාවක් 
රස රහස් කියනවා විටකදි ඉගිත් කරනවා
රස රහස් කියනවා විටකදි ඉගිත් කරනවා 
ඇවිදින්නට තනිවෙන්නට යමුද අහනවා 
යමුද අහනවා 
සද හිරුත් එක්ක හොරෙන් කතාවක් 
තරු මාත් එක්ක ප්‍රේම කතාවක් 
වරදක් නැහැ කියනා කවුරුත් නොම එයි සිතනා 
වරදක් නැහැ කියනා කවුරුත් නොම එයි සිතනා 
සිත ගන්නට ළං වෙන්නට එන්න අහනවා 
එන්න අහනවා",තරු මාත් එක්ක ප්‍රේම කතාවක්,ඔබ මාත් එක්ක ප්‍රේම කතාවක්,තරු,ඔබ
Mage Duwe Oba – මගෙ දුවේ ඔබ,Karunaratna Divulgane,Classics,Rathna Sri Wijesinge,Rohana Weerasingha,D minor,4/4,"මගෙ දුවේ ඔබ අවදියෙන් නම් 
මේ රැයේ මිහිරිම වෙලාවයි 
දොර ඇරන් එළියට ආවොතින් 
මේ මිහිරි දේවල් නුඹටමයි 
සේපාලිකා මල් බිමට බැහැලා 
ඇවිදින්න යන වෙලාවයි 
නිල් තාරුකා බිම බලාගෙන 
වැව් දියට පෙම් බැඳි වෙලාවයි 
මේ පොළව කොතරම් සුන්දරද 
මගේ දූ තනියම හිනාවෙයි 
ගණ කළුවරට අප පෙම් කලොත් 
ඉර හඳ තරුවනට ණය ගැතියි 
ලොව දුන්නු දේවල් අද අපිට හෙට 
ලොවට පෙරලා දිය යුතුයි 
ඔබ මේ ලොවට ආදරෙයි නම් 
මුළු ලොවම ඔබටත් ආදරෙයි","නිල් තාරුකා බිම බලාගෙන
වැව් දියට පෙම් බැඳි වෙලාවයි",තාරකාවල ප්‍රතිබිම්භය වැව මත් වැටී ඇත,පෙම් බැඳිම,ප්‍රතිබිම්භය වැටීම
La Dalu Bo Path | ලා දළු බෝ පත්,Karunaratna Divulgane,Classics,Rambukkana Siddhartha Thero,H.M.Jayawardhana,E minor,4/4,"ලා දළු බෝ පත් සෙමින් සැලෙන සේ  
යශෝදරා දේවී 
වාවනු බැරි තැන රහසේ හැඬුවා 
පෙර සංසාරේ ඇසුර මතක් වී 
ලා දළු බෝ පත් සෙමින් සැලෙන සේ 
ලේන කුලේ සිට ආගිය මඟ තොට  
සිටියා නොසැලෙන පහන් ටැඹක් වී 
නිවන් දකින තුරු මේ සංසාරේ 
පසු පස ආවා සෙවනැල්ලක් වී 
තැලී සෙනේ සිත සැලී හඬන විට 
වැටී දෙපා ලඟ යශෝදරාවෝ 
පිපී නිවන් මල් සාධුකාර දී 
නිවී පහන් විය උදෑසනක් සේ",ලා දළු බෝ පත් සෙමින් සැලෙන සේ ,නිහඬව හැඬීම,බෝ කොල බිමට වැටෙනවිට ඇසෙන ශබ්දය,නිහඬ බව
Konda Kirilliye | කොණ්ඩ කිරිල්ලියේ,Karunaratna Divulgane,New Pop,Rathna Sri Wijesinge,Rohana Weerasingha,G,6/8,"කොණ්ඩ කිරිල්ලියේ  
කවුද නුඹේ ප්‍රේමවන්තයා 
කොණ්ඩෙ කපනවාද කොණ්ඩෙ බඳිනවාද  
කොණ්ඩෙ කපනවාද බඳිනවාද කියාපන් එයා 
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා 
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා 
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා 
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා  
ඔන්න කියන්නෙපා කිරිල්ලියේ නොකිව්වාය කියා 
ඔය ලෙන්ගතුකම් බෑ දෑවැදි ඉල්ලුවොතින් එයා 
රංචු ඉලන්දාරි කල්ලි ගැහී බෝවිටියා සොයා 
පුංචි කට රතු කර සිංදු එහෙම කියනවාද එයා",කොණ්ඩ කිරිල්ලියේ,දිගු කොණ්ඩයක් සහිත කාන්තාව,කොණ්ඩ කිරිල්ලිය,දිගු කොණ්ඩයක් සහිත කාන්තාව
Kohe Ho Numba | කොහේ හෝ නුඹ,Karunaratna Divulgane,New Pop,Shamila Hussain,Dharshana Wickramathunga,D minor,4/4,"කොහේ හෝ නුඹ නතර වි  
කාට හෝ ජීවිතය දී 
තුටින් නම් මට ඒ ඇති 
මගේ නොවුනට කම් නැතී නුඹ 
මගේ නොවුනට කම් නැතී 
උන්න දා අපි අපේ වී නුඹ 
දුන්නු සෙනෙහස අරුමැති 
ලෝභ නෑ හිත අහිමි දා අද 
මමත් දැන් මට හිමි නැතී 
නුඹ ළඟත් මතකය ඇතී 
නමුදු අපි වෙන් වී ඇතී 
එපා රිදවුම් ගන්න දිවියට 
අපිට හිමි ජීවිත ඇතී",කොහේ හෝ නුඹ නතර වි,කාත් සමඟ හෝ විවහා වී,නතර වීම,විවාහය
Gamata Kalin Hiru | ගමට කලින් හිරු,Karunaratna Divulgane,Classics,Sunil Dayananda Konara,Sunil Dayananda Konara,D minor,4/4,"ගමට කලින් හිරු මුළුතැන්ගෙට වඩනා 
ඒ හිරු එළියේ නැණ මල් පොඩි පිපුණා 
ඒ මල් සුවඳේ අද ලොව්තුරු සුව විඳිනා 
කලා වැවේ නිල් දියවර අපෙ අම්මා 
රෑ කළුවර අරගෙන දරුවන් එනතුරු 
සිත නෑ නිවන් දකින්නේ 
රෑ කළුවර ඇවිදින් ඉකිබිඳ හැඬුවත් 
නෙත නෑ නිදි විඳගන්නේ 
හෙට අරුණට සැරසෙන තව දවසක් ගැන 
නින්දේ හීන දකින්නේ 
මහමායාවනි කවදාදෝ ඔය නෙත් 
දරු සෙනෙහසින් මිදින්නේ 
වෙල් දෙනිවල ඇවිදින දෙපා රිදෙන විට 
විහඟ ගීත බණ පද වේවා 
බෝ මලුවක ඇවිලෙන පහන් වැටක් සේ 
තුන් සිත නිවී සැදේවා 
මතු උපදින සසරේ විශාඛාව වී  
මෙත් මඟ නෙත් හමුවේවා 
ඇත් රැජිනියනේ ඔබෙ නැළවිලි ගීතය 
ලොවම නිවන කවියක් වේවා",ගමට කලින් හිරු මුළුතැන්ගෙට වඩනා,ඉර උදා වීමට පෙර අම්මා මුළුතැන් ගෙයට ඒම,හිරු,අම්මා
Gahaka Mal Pipila | ගහක මල් පිපිලා,Karunaratna Divulgane,New Pop,Yamuna Malani Perera,Gunadasa Kapuge,G,4/4,"ගහක මල් පිපිලා පිපෙන්නේ ඇයිද නොදන්නෙමී 
හිතක මල් පිපිලා පිපෙන්නේ ඇයිද නොදන්නෙමී 
නුඹට සිත බැඳුනේ කිමැයිමා තවම නොදන්නෙමි 
නුඹට සිත බැදි කාරණේ මා තවම සොයන්නෙමී 
කතරෙ වැලි කැට හිරුට පෙම්බැද 
ඇතත් ලෝ දහමින් 
සොදුරු වැස්සට දැවෙන කතරත් 
ආදරෙයි පණමෙන් 
ලොවට නොපෙනෙන අරුම සෙනෙහස  
ඒ වගෙයි මනරම් කරනුබැරි තහනම් 
සදට සදහට සෙනෙහෙ පෑමුත්  
උදුල තරු කැටයම් 
හිරුටපෙම් බැදි එකම තරුවක් 
සිටිය නොහැකිද යම් 
නුඹට නොහැගෙන මගේ ප්රේුමය 
ඒ වගේ මනරම් පුදුමවෙයි නුඹ නම්",හිතක මල් පිපිලා,හිතක ඇති වූ ආදරය,මල් පිපීම,ආදරයක් ඇතිවීම
Dura Kathara Gewagena | දුර කතර ගෙවාගෙන,Karunaratna Divulgane,New Pop,Rathna Sri Wijesinge,H.M.Jayawardhana,F,6/8,"දුර කතර ගෙවාගෙන 
මම නොකියම ආවට 
මට සමාවෙයන් බණ්ඩර මැණිකේ 
අර බලන්න අර පුර හඳ අහසේ 
දුම් වලාකුළෙන් තරුකැට හැංගිලා 
නෙත් කොණින් බලා මට ඉඟි බිඟි කළා 
මට ඉන්නට බෑ කොළොම්තොටට වෙලා 
උඹෙ කතා කරන දෑස මතක් වෙලා 
මහා මැදුරු උඩින් පුර හඳ පායලා 
නුඹෙ මුහුණ පෙනුණේ මුළු අහසම පුරා 
ඒ සෙනෙහෙවන්ත කමට වහල් වෙලා 
මට ගම නෑවිත් ඉන්නට බැරිවුණා",කතා කරන දෑස,අලංකාර වූ දෑස්,කතා කරන,අලංකාර වූ
Adaraya Sundara Waradaki | ආදරය සුන්දර වරදකි,Karunaratna Divulgane,New Pop,Yamuna Malani Perera,Gunadasa Kapuge,F minor,4/4,"ආදරය සුන්දර වරදකි 
කිසිදා සමාවක් නම් නැති 
මට පෙන්නලා ආලේ හැටි 
නුඹ දුන්නු දුක හොදටම ඇති 
ඉදුවර නුවන් දෑලේ වැටී පැගී 
දැහැනේ වෙලී උන්මාද වුයේ මා 
වෙනෙකෙකූ දිහා බැලුමට යලි 
මට නෙත් නැතැයි කෙදු‍රැවේ කවුරුන්දෝ 
පුළුවර තාලා වීණා බදින් දැවැටී 
රතගැලි බැදී නින්නාදයේ අනුරා 
හද ස්වර තලා කම්පිත‍ වේවි 
මට මා පවා නැති කලේ කවුරුන්දෝ",ආදරය සුන්දර වරදකි,ආදරය වැරදිකාර දෙයක් ලෙස හැඟුනද එය සුන්දර වේ,සුන්දර වරද,ආදරය
Deno Dahak Nuwan |  දෙනෝ දාහක්,Nanda Malani,Classics,Kularathna Ariyawansa,Victor Rathnayaka,C major,7/8,"දෙනෝ දාහක් නුවන් අතරේ 
කවුරුදෝ මා 
තනි කළේ….. තනි කළේ 
…..පාසැල් බිමේ 
සිනා කෙළිලොල් තෙපුල් රහසේ 
දෙඩූ තැන් අද ගොළු වෙලා 
සොඳුරු පාසැල් පියස 
කඳුලින් බොඳ වෙලා 
කැදැල්ලෙන් ඔබ වෙන් වෙලා 
නිබඳ ඔබ මා ඇවිද ගිය තැන් 
සෙවණ දුන් ගහ කොළ පුරා 
බිමට බරවුණු කැකුළු 
අතු ඉති මැලවිලා 
දුකින් හදවත ගොළුවෙලා",කැදැල්ලෙන් ඔබ වෙන් වෙලා,නිවසින් ඔබ නික්ම ගොසින්,කැදැල්ල,නිවස
Ayanna Kiyanna |  අයන්න කියන්න,Nanda Malani,Classics,Sunil Ariyarathna,Mervin Perera,A major,4/4,"අයන්න කියන්න ලොවටම ඇහෙන්න 
එන්න මගේ මල්ලී 
දුවන්න පනින්න නටන්න ගයන්න 
එන්න මගේ නංගී 
පාසල නම් රන් දෙවොලේ 
දෙවියන් වන් ගුරු කැළගේ 
සිත දිනමින් පා හෙවණේ 
ශිල්ප ලබා මතු දවසේ 
ලෝකය දකින්න එහි සැරිසරන්න 
එන්න මගේ මල්ලී එන්න මගේ නංගී 
කාසි පනම් හිටි හැටියේ 
සතුරෝ ගෙන යති රහසේ 
පොතින් පතින් ලද දැණුමේ 
ධනය සදාකල් සුරැකේ 
ඥානය වඩන්න කාලය ගෙවන්න 
එන්න මගේ මල්ලී එන්න මගේ නංගී",පාසල නම් රන් දෙවොලේ,රත්රන් වලින් ඉදිකල දේවාලයක් බඳු වූ වටිනාකමක් සහිත පාසල,රන් දේවාලය,පාසල
Man Mula wee |  මං මුලා වී,Gunadasa Kapuge,Classics,Sunil Ariyarathna,Gunadasa Kapuge,F minor,4/4,"මං මුලා වී පාර හොයාගෙන  
හසරක් අසමින් යන ගමනේ 
මං මුලා වූ සමනලියකගෙනි  
පාර අසා……. තිබුනේ   
ඇයත් නොදන්නිය ඇය යන මානය 
උන් හිටි තැන් මතකය අඩමානය 
පාර කියන්නේ කෙලෙසද මා හට 
ඇයටද පාරක් ඇති නැති ගානය 
අප හමු වූයේ මන්දැයි නොදනිමි 
පාර ඇසූවේ ඇයි දැයි නොකියමි 
අපේ ගමන අද නවතනු හැකි නම් 
අප යන ගමනද අද මෙතැනින් නිමි",මං මුලා වූ සමනලියකගෙනි,තනි කාන්තාවක්,මංමුලා වූ,තනි වූ
Duka Hadu Dena |  දුක හාදු දෙන,Gunadasa Kapuge,Classics,Wasantha B Dissanayaka,Gunadasa Kapuge,E minor,3/4,"දුක හාදු දෙන රැයේ සිත පතුලටම වෙලා 
යෞවනේ අපට විය විරහි හද ගිලන් වෙලා   
ගහ කොල ද මල් පිපේ ඇළ දොළ  
නිල කඩා හැලේ 
පෙරදාක මිරිඟු සයුරේ ඒ රුවට රැවටුනේ 
නන්නාඳුනන ලෙසේ මග තොට  
යලිත් හමුවෙලා 
මහමෙර හිසින් දරාගෙන අපි යමු දුරස් වෙලා",දුක හාදු දෙන රැයේ,ඉතා දුක්බර වූ රාත්‍රිය,දුක හාදූ දීම,ඉතා දුක්බර වීම
